"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","C_TYP_REG_DECHET","L_TYP_REG_DECHET","TONNAGE_T","VA_POPANNEE","RATIO_KG_HAB"
"2009","97","DROM-COM","972","Martinique","08B","Emballages, journaux-magazines",1227.93,396404,3.1
"2009","97","DROM-COM","972","Martinique","08C","Verre",1339.58,396404,3.38
"2009","97","DROM-COM","972","Martinique","08D","Déchets de produits alimentaires",1047,396404,2.64
"2009","97","DROM-COM","973","Guyane","08A","Ordures ménagères résiduelles",75005.3,224469,334.15
"2009","97","DROM-COM","973","Guyane","08B","Emballages, journaux-magazines",181.72,224469,0.81
"2009","97","DROM-COM","973","Guyane","08C","Verre",563.14,224469,2.51
"2009","97","DROM-COM","974","La Réunion","08A","Ordures ménagères résiduelles",239385.97,816364,293.23
"2009","97","DROM-COM","974","La Réunion","08B","Emballages, journaux-magazines",23439.05,816364,28.71
"2009","97","DROM-COM","974","La Réunion","08C","Verre",7520.18,816364,9.21
"2009","97","DROM-COM","977","Saint-Barthélemy","08A","Ordures ménagères résiduelles",9518,8902,1069.2
"2009","97","DROM-COM","977","Saint-Barthélemy","08B","Emballages, journaux-magazines",0,8902,0
"2009","97","DROM-COM","977","Saint-Barthélemy","08C","Verre",24,8902,2.7
"2009","97","DROM-COM","978","Saint-Martin","08A","Ordures ménagères résiduelles",15342,36824,416.63
"2009","97","DROM-COM","978","Saint-Martin","08B","Emballages, journaux-magazines",44,36824,1.19
"2009","97","DROM-COM","978","Saint-Martin","08C","Verre",502,36824,13.63
"2009","44","Grand Est","08","Ardennes","08A","Ordures ménagères résiduelles",82993.93,283296,292.96
"2009","44","Grand Est","08","Ardennes","08B","Emballages, journaux-magazines",15983.04,283296,56.42
"2009","44","Grand Est","08","Ardennes","08C","Verre",10148.04,283296,35.82
"2009","44","Grand Est","10","Aube","08A","Ordures ménagères résiduelles",91337.88,303298,301.15
"2009","44","Grand Est","10","Aube","08B","Emballages, journaux-magazines",12545.07,303298,41.36
"2009","44","Grand Est","10","Aube","08C","Verre",11597.93,303298,38.24
"2009","44","Grand Est","51","Marne","08A","Ordures ménagères résiduelles",150194.32,566145,265.29
"2009","44","Grand Est","51","Marne","08B","Emballages, journaux-magazines",30426.21,566145,53.74
"2009","44","Grand Est","51","Marne","08C","Verre",23366.75,566145,41.27
"2009","44","Grand Est","52","Haute-Marne","08A","Ordures ménagères résiduelles",53191.17,185214,287.19
"2009","44","Grand Est","52","Haute-Marne","08B","Emballages, journaux-magazines",8484.77,185214,45.81
