"code_sous-categorie","pourcentage_bennes_TV","IC_pourcentage_bennes_TV","pourcentage_bennes_metaux","IC_pourcentage_bennes_metaux","pourcentage_bennes_bois","IC_pourcentage_bennes_bois","pourcentage_bennes_EA","IC_pourcentage_bennes_EA","tonnage_bennes_TV","IC_tonnage_bennes_TV","tonnage_bennes_metaux","IC_tonnage_bennes_metaux","tonnage_bennes_bois","IC_tonnage_bennes_bois","tonnage_bennes_EA","IC_tonnage_bennes_EA","ratio_bennes_TV","IC_ratio_bennes_TV","ratio_bennes_metaux","IC_ratio_bennes_metaux","ratio_bennes_bois"," IC_ratio_bennes_bois "," ratio_bennes_EA ","IC_ratio_bennes_EA"
"10.02","0,1%","0,0%","4,9%","0,9%","0,0%","0,0%","0,1%","0,1%",1958,885,"23 691","4 529",6,6,"1 166","1 341",0,0,"0,4","0,1",0,0,"0,02","0,02"
"10.03","0,4%","0,1%","19,7%","2,9%","0,1%","0,1%","5,9%","1,8%",12255,2487,"95 037","13 756",717,731,"57 188","17 732",0.2,0,"1,4","0,2",0,0.01,"0,87","0,27"
"10.04","0,1%","0,0%","1,0%","0,4%","0,0%","0,0%","0,0%","0,0%",2696,800,"4 994","1 713",89,150,"184","281",0,0,"0,1","0,0",0,0,"0,00","0,00"
"10.05","0,0%","0,0%","0,3%","0,2%","0,0%","0,0%","0,0%","0,0%",891,565,"1 424","780",41,58,"230","254",0,0,"0,0","0,0",0,0,"0,00","0,00"
"10.06","0,7%","0,2%","29,6%","3,5%","0,1%","0,0%","0,1%","0,1%",18771,4799,"142 685","16 873",655,419,"919","852",0.3,0.1,"2,2","0,3",0,0.01,"0,01","0,01"
"10.07","0,7%","0,2%","18,5%","3,5%","0,0%","0,0%","0,4%","0,3%",19795,3890,"89 064","16 864",474,288,"3 447","3 035",0.3,0.1,"1,3","0,3",0,0,"0,05","0,05"
"10.08","0,0%","0,0%","0,1%","0,1%","0,0%","0,0%","0,0%","0,0%",449,298,"525","453",6,6,"19","39",0,0,"0,0","0,0",0,0,"0,00","0,00"
"10.09","0,1%","0,1%","0,1%","0,1%","0,0%","0,0%","0,0%","0,0%",2158,2789,"605","440",6,6,"-","-",0,0,"0,0","0,0",0,0,"-","-"
"10.10","0,1%","0,0%","1,0%","0,5%","0,0%","0,0%","0,3%","0,2%",1485,565,"4 710","2 580",59,79,"2 903","2 045",0,0,"0,1","0,0",0,0,"0,04","0,03"
"10.11","0,0%","0,0%","0,1%","0,1%","0,0%","0,0%","0,0%","0,0%",403,180,"401","421",6,6,"-","-",0,0,"0,0","0,0",0,0,"-","-"
